0,1,2,3
Meat,Pasta,Sauce,
Pasta,Chicken,Sauce,
Pasta,Meat,Rice,
Sauce,,,
Meat,Pasta,,
Sauce,Pasta,,
Rice,Chicken,Pasta,
Sauce,,,
Sauce,,,
Rice,,,
Pasta,Meat,,
Pasta,Chicken,Meat,
Meat,Pasta,,
Sauce,Pasta,Chicken,
Chicken,Pasta,Rice,Sauce
Pasta,,,
Pasta,Meat,Chicken,
Pasta,Sauce,Meat,
Pasta,Rice,,
Pasta,Meat,Chicken,
Sauce,Rice,,
Chicken,Sauce,Pasta,
Meat,,,
Sauce,,,
Pasta,Meat,Rice,
Pasta,,,
Rice,Pasta,,
Meat,,,
Chicken,Rice,Pasta,
Meat,,,
Chicken,Sauce,,
Rice,Sauce,,
Sauce,Pasta,,
Chicken,Pasta,Meat,
Rice,,,
Pasta,Chicken,,
Pasta,Sauce,,
Rice,Pasta,,
Rice,,,
Rice,Pasta,,
Chicken,Sauce,Rice,
Sauce,,,
Pasta,Sauce,Meat,Rice
Rice,Pasta,,
Pasta,Sauce,,
Rice,,,
Pasta,,,
Sauce,Pasta,Meat,
Pasta,,,
Rice,,,
